Fruits,Year,Planted Areas (Ha),Production (Tonnes),
Bananas,2000,33584,178958,
Bananas,2001,33704,174103,
Bananas,2002,31233,290763,
Bananas,2003,29864,274426,
Bananas,2004,29057,317104,
Bananas,2005,28020,262242,
Bananas,2006,26855,258481,
Bananas,2007,27576,260911,
Bananas,2008,27419,272331,
Bananas,2009,27454,279762,
Bananas,2010,31144,332639,
Bananas,2011,29132,306283,
Bananas,2012,31456,335974,
Bananas,2013,27085,288677,
Bananas,2014,28911,303107,
Bananas,2015,30711,315500,
Bananas,2016,28036,309508,
Bananas,2017,34894,350493,
Bananas,2018,30486,331255,
Bananas,2019,26079,325447,
Cempedak,2000,12542,25771,
Cempedak,2001,12151,32633,
Cempedak,2002,12600,43349,
Cempedak,2003,11655,35687,
Cempedak,2004,11778,45454,
Cempedak,2005,11300,47837,
Cempedak,2006,10679,39024,
Cempedak,2007,10765,45628,
Cempedak,2008,10588,50945,
Cempedak,2009,9461,40676,
Cempedak,2010,8683,35061,
Cempedak,2011,7894,32749,
Cempedak,2012,8770,35412,
Cempedak,2013,7675,34741,
Cempedak,2014,7193,31697,
Cempedak,2015,7234,31871,
Cempedak,2016,7585,28929,
Cempedak,2017,7333,26935,
Cempedak,2018,7192,30041,
Cempedak,2019,6559,27893,
Dokong,2000,18498,14769,
Dokong,2001,18829,7577,
Dokong,2002,20300,25136,
Dokong,2003,20278,19512,
Dokong,2004,20604,34356,
Dokong,2005,20587,44395,
Dokong,2006,19078,44164,
Dokong,2007,20419,32355,
Dokong,2008,14877,29976,
Dokong,2009,12366,28632,
Dokong,2010,11156,27804,
Dokong,2011,10934,23854,
Dokong,2012,11268,28083,
Dokong,2013,8699,39350,
Dokong,2014,8706,44235,
Dokong,2015,6785,30227,
Dokong,2016,6646,33832,
Dokong,2017,4327,9134,
Dokong,2018,4829,21277,
Dokong,2019,4937,22913,
Dragon Fruit,2000,0,0,
Dragon Fruit,2001,0,0,
Dragon Fruit,2002,51,196,
Dragon Fruit,2003,59,350,
Dragon Fruit,2004,210,1415,
Dragon Fruit,2005,524,4408,
Dragon Fruit,2006,927,2534,
Dragon Fruit,2007,1790,5296,
Dragon Fruit,2008,2267,9016,
Dragon Fruit,2009,1762,15701,
Dragon Fruit,2010,1526,10192,
Dragon Fruit,2011,1244,7943,
Dragon Fruit,2012,1541,10294,
Dragon Fruit,2013,4903,32907,
Dragon Fruit,2014,548,6042,
Dragon Fruit,2015,688,5475,
Dragon Fruit,2016,695,4402,
Dragon Fruit,2017,680,6407,
Dragon Fruit,2018,751,9367,
Dragon Fruit,2019,723,6879,
Duku,2000,7290,25275,
Duku,2001,7037,44727,
Duku,2002,7074,22161,
Duku,2003,7024,29305,
Duku,2004,6450,64344,
Duku,2005,6523,39005,
Duku,2006,5682,27377,
Duku,2007,5996,33394,
Duku,2008,5301,25562,
Duku,2009,5333,36243,
Duku,2010,4961,30864,
Duku,2011,0,0,
Duku,2012,0,0,
Duku,2013,0,0,
Duku,2014,0,0,
Duku,2015,0,0,
Duku,2016,0,0,
Duku,2017,0,0,
Duku,2018,0,0,
Duku,2019,0,0,
Duku/Duku Langsat,2000,16265,16253,
Duku/Duku Langsat,2001,16148,17256,
Duku/Duku Langsat,2002,16524,27134,
Duku/Duku Langsat,2003,15296,23825,
Duku/Duku Langsat,2004,15200,62042,
Duku/Duku Langsat,2005,17061,36989,
Duku/Duku Langsat,2006,16887,32964,
Duku/Duku Langsat,2007,18419,30880,
Duku/Duku Langsat,2008,11720,15810,
Duku/Duku Langsat,2009,6249,14657,
Duku/Duku Langsat,2010,5813,12482,
Duku/Duku Langsat,2011,9921,35113,
Duku/Duku Langsat,2012,16753,56388,
Duku/Duku Langsat,2013,7674,37377,
Duku/Duku Langsat,2014,6754,44557,
Duku/Duku Langsat,2015,6054,28774,
Duku/Duku Langsat,2016,5663,23131,
Duku/Duku Langsat,2017,9982,8055,
Duku/Duku Langsat,2018,5648,23416,
Duku/Duku Langsat,2019,5537,24446,
Durian,2000,122759,244157,
Durian,2001,118946,262575,
Durian,2002,118869,370767,
Durian,2003,116271,303717,
Durian,2004,115675,399661,
Durian,2005,110615,378657,
Durian,2006,105388,292681,
Durian,2007,99408,312157,
Durian,2008,96762,277767,
Durian,2009,88719,278076,
Durian,2010,82420,297696,
Durian,2011,76399,363420,
Durian,2012,83246,300680,
Durian,2013,75713,373083,
Durian,2014,73735,351518,
Durian,2015,70608,368271,
Durian,2016,66037,302646,
Durian,2017,72391,210874,
Durian,2018,71126,342170,
Durian,2019,70286,377251,
Guava,2000,1809,11674,
Guava,2001,1642,16861,
Guava,2002,2076,21659,
Guava,2003,1788,20710,
Guava,2004,2248,24179,
Guava,2005,1934,23740,
Guava,2006,1739,16161,
Guava,2007,1302,15672,
Guava,2008,1375,18143,
Guava,2009,1959,22055,
Guava,2010,2544,24799,
Guava,2011,3011,25105,
Guava,2012,2570,25048,
Guava,2013,1732,27286,
Guava,2014,3192,34977,
Guava,2015,2880,52859,
Guava,2016,3141,63029,
Guava,2017,4180,84288,
Guava,2018,1984,34495,
Guava,2019,1895,35962,
Jackfruit,2000,3584,9588,
Jackfruit,2001,3205,12638,
Jackfruit,2002,3381,18511,
Jackfruit,2003,3198,13876,
Jackfruit,2004,3238,18001,
Jackfruit,2005,3133,17624,
Jackfruit,2006,3123,18712,
Jackfruit,2007,3201,18415,
Jackfruit,2008,3340,26748,
Jackfruit,2009,3359,19934,
Jackfruit,2010,3516,19516,
Jackfruit,2011,4261,23735,
Jackfruit,2012,3551,19712,
Jackfruit,2013,4903,32907,
Jackfruit,2014,3469,25003,
Jackfruit,2015,6245,29578,
Jackfruit,2016,5414,28767,
Jackfruit,2017,5097,28042,
Jackfruit,2018,4879,31175,
Jackfruit,2019,4657,31281,
Langsat,2000,6791,7018,
Langsat,2001,6901,5641,
Langsat,2002,6877,18149,
Langsat,2003,6500,15424,
Langsat,2004,7130,28140,
Langsat,2005,7019,28655,
Langsat,2006,6299,23120,
Langsat,2007,6573,25196,
Langsat,2008,6400,23702,
Langsat,2009,6184,24403,
Langsat,2010,5696,25657,
Langsat,2011,5647,24928,
Langsat,2012,5753,25914,
Langsat,2013,5452,21489,
Langsat,2014,5555,23752,
Langsat,2015,5309,24583,
Langsat,2016,5138,30688,
Langsat,2017,4921,22912,
Langsat,2018,4781,19633,
Langsat,2019,4580,18933,
Mango,2000,9740,14967,
Mango,2001,9222,14681,
Mango,2002,10350,22984,
Mango,2003,9482,22072,
Mango,2004,9714,27075,
Mango,2005,9421,25043,
Mango,2006,10017,26247,
Mango,2007,9552,23334,
Mango,2008,9001,23573,
Mango,2009,8262,21302,
Mango,2010,7650,22596,
Mango,2011,7176,21022,
Mango,2012,7727,22823,
Mango,2013,5270,16625,
Mango,2014,4958,17666,
Mango,2015,5773,22672,
Mango,2016,5816,17430,
Mango,2017,6048,16913,
Mango,2018,6357,15329,
Mango,2019,5731,16509,
Mangoesteen,2000,8150,16986,
Mangoesteen,2001,8058,30023,
Mangoesteen,2002,7557,21594,
Mangoesteen,2003,7208,18747,
Mangoesteen,2004,7373,24392,
Mangoesteen,2005,7679,26513,
Mangoesteen,2006,7414,28890,
Mangoesteen,2007,6726,33468,
Mangoesteen,2008,7089,27258,
Mangoesteen,2009,6064,23893,
Mangoesteen,2010,4979,27005,
Mangoesteen,2011,4268,21554,
Mangoesteen,2012,5029,27276,
Mangoesteen,2013,4136,25355,
Mangoesteen,2014,3827,24555,
Mangoesteen,2015,3906,22784,
Mangoesteen,2016,3831,21588,
Mangoesteen,2017,3671,12623,
Mangoesteen,2018,3717,26170,
Mangoesteen,2019,3602,28764,
Orange,2000,6276,15968,
Orange,2001,6956,16976,
Orange,2002,6621,20041,
Orange,2003,7163,20722,
Orange,2004,6595,28949,
Orange,2005,5174,24793,
Orange,2006,5174,22451,
Orange,2007,5342,20604,
Orange,2008,3781,17271,
Orange,2009,4440,20586,
Orange,2010,4451,21009,
Orange,2011,5050,22580,
Orange,2012,4496,21220,
Orange,2013,3108,18666,
Orange,2014,2965,16622,
Orange,2015,2692,15537,
Orange,2016,2760,13448,
Orange,2017,2753,13245,
Orange,2018,1853,10203,
Orange,2019,2150,11006,
Papaya,2000,2257,23117,
Papaya,2001,2202,27391,
Papaya,2002,2125,39387,
Papaya,2003,2668,49685,
Papaya,2004,2670,40330,
Papaya,2005,2758,41319,
Papaya,2006,2117,32800,
Papaya,2007,2190,36937,
Papaya,2008,2861,45993,
Papaya,2009,3648,45813,
Papaya,2010,2668,44704,
Papaya,2011,2462,43364,
Papaya,2012,2695,45152,
Papaya,2013,1934,31748,
Papaya,2014,2771,55358,
Papaya,2015,2838,60625,
Papaya,2016,4334,65967,
Papaya,2017,3219,83797,
Papaya,2018,2239,52917,
Papaya,2019,2529,53681,
Pomelo,2000,2260,6196,
Pomelo,2001,2305,7835,
Pomelo,2002,2285,10083,
Pomelo,2003,2207,8304,
Pomelo,2004,2131,8913,
Pomelo,2005,2192,8689,
Pomelo,2006,1918,7471,
Pomelo,2007,1822,9261,
Pomelo,2008,1830,8464,
Pomelo,2009,1611,8515,
Pomelo,2010,1571,9781,
Pomelo,2011,1394,7867,
Pomelo,2012,1587,9879,
Pomelo,2013,1093,11714,
Pomelo,2014,1009,11831,
Pomelo,2015,1314,10196,
Pomelo,2016,1173,12858,
Pomelo,2017,1161,13037,
Pomelo,2018,1067,15288,
Pomelo,2019,1055,15133,
Pulasan,2000,553,928,
Pulasan,2001,928,1670,
Pulasan,2002,903,1782,
Pulasan,2003,938,2226,
Pulasan,2004,1346,2886,
Pulasan,2005,1045,2956,
Pulasan,2006,1173,1523,
Pulasan,2007,928,2279,
Pulasan,2008,1284,3564,
Pulasan,2009,860,2406,
Pulasan,2010,765,2285,
Pulasan,2011,670,1975,
Pulasan,2012,773,2308,
Pulasan,2013,465,1273,
Pulasan,2014,523,1240,
Pulasan,2015,459,1051,
Pulasan,2016,320,999,
Pulasan,2017,567,687,
Pulasan,2018,333,963,
Pulasan,2019,315,966,
Rambutan,2000,26040,33866,
Rambutan,2001,26289,40075,
Rambutan,2002,27252,68999,
Rambutan,2003,25634,66505,
Rambutan,2004,25725,78949,
Rambutan,2005,25323,78218,
Rambutan,2006,24929,67091,
Rambutan,2007,24426,77660,
Rambutan,2008,23531,76474,
Rambutan,2009,22257,71232,
Rambutan,2010,19783,70218,
Rambutan,2011,18650,63345,
Rambutan,2012,19981,70922,
Rambutan,2013,17812,69256,
Rambutan,2014,17160,63919,
Rambutan,2015,16797,65649,
Rambutan,2016,15387,63700,
Rambutan,2017,15996,37215,
Rambutan,2018,16493,52991,
Rambutan,2019,14821,55891,
Sapodilla,2000,1354,6750,
Sapodilla,2001,1297,4727,
Sapodilla,2002,1189,5109,
Sapodilla,2003,1163,5511,
Sapodilla,2004,1217,6143,
Sapodilla,2005,1036,5449,
Sapodilla,2006,978,6421,
Sapodilla,2007,855,6042,
Sapodilla,2008,954,5550,
Sapodilla,2009,758,6464,
Sapodilla,2010,793,5679,
Sapodilla,2011,711,4576,
Sapodilla,2012,801,5736,
Sapodilla,2013,543,5356,
Sapodilla,2014,607,6970,
Sapodilla,2015,361,3294,
Sapodilla,2016,455,3664,
Sapodilla,2017,646,3054,
Sapodilla,2018,229,1849,
Sapodilla,2019,213,1828,
Snake Fruit,2000,1115,1383,
Snake Fruit,2001,1520,2204,
Snake Fruit,2002,1721,3925,
Snake Fruit,2003,1692,3924,
Snake Fruit,2004,2208,4195,
Snake Fruit,2005,1672,1338,
Snake Fruit,2006,1979,2288,
Snake Fruit,2007,1927,2231,
Snake Fruit,2008,2007,4153,
Snake Fruit,2009,1284,2434,
Snake Fruit,2010,1409,3009,
Snake Fruit,2011,1260,3590,
Snake Fruit,2012,1423,3039,
Snake Fruit,2013,1171,3960,
Snake Fruit,2014,967,3592,
Snake Fruit,2015,1261,3765,
Snake Fruit,2016,896,4132,
Snake Fruit,2017,1089,4216,
Snake Fruit,2018,874,3599,
Snake Fruit,2019,691,3443,
Starfruit,2000,1244,8572,
Starfruit,2001,1203,10124,
Starfruit,2002,1018,8585,
Starfruit,2003,1072,8707,
Starfruit,2004,1173,10971,
Starfruit,2005,1097,8719,
Starfruit,2006,1109,10222,
Starfruit,2007,1042,9106,
Starfruit,2008,1251,10913,
Starfruit,2009,1177,16915,
Starfruit,2010,1311,12870,
Starfruit,2011,1051,10495,
Starfruit,2012,1324,12999,
Starfruit,2013,845,11783,
Starfruit,2014,1112,10072,
Starfruit,2015,723,7486,
Starfruit,2016,872,8474,
Starfruit,2017,828,8748,
Starfruit,2018,582,6926,
Starfruit,2019,592,8054,
Watermelon,2000,8487,72360,
Watermelon,2001,5996,73553,
Watermelon,2002,7187,101042,
Watermelon,2003,6803,105868,
Watermelon,2004,7393,115881,
Watermelon,2005,8691,147666,
Watermelon,2006,9214,148909,
Watermelon,2007,9241,154416,
Watermelon,2008,10824,220066,
Watermelon,2009,14872,238671,
Watermelon,2010,14416,235893,
Watermelon,2011,13814,220560,
Watermelon,2012,14561,238258,
Watermelon,2013,11032,209599,
Watermelon,2014,10842,176379,
Watermelon,2015,10846,178928,
Watermelon,2016,11987,192910,
Watermelon,2017,10406,172275,
Watermelon,2018,10457,150261,
Watermelon,2019,8921,144147,
